2.32,22,110000,1130,92100000,2.49
2.32,27,150000,1470,92100000,2.49
2.32,32,200000,2040,92100000,2.49
2.32,53,800000,11600,92100000,2.49
5.69,38,900000,675,91000000,3.32
5.69,84,3000000,1520,91000000,3.32
5.69,125,400000,1240,91000000,3.32
5.69,165,600000,1530,91000000,3.32
5.69,207,800000,1810,91000000,3.32
8.87,680,12000000,72000,125000000,8.49
74.6,61.2,545000,3100,245000000,19.9
74.6,81.6,750000,4330,245000000,19.9
74.6,112,1070000,6270,245000000,19.9
40.9,95,700000,9800,243000000,19.7
40.9,210,3800000,46500,243000000,19.7
8.55,115,520000,2190,97700000,4.86
8.55,160,734000,3000,97700000,4.86
8.55,245,1470000,6420,97700000,4.86
8.55,326,2120000,8940,97700000,4.86
94.5,52.1,400000,1470,348000000,29.1
86.6,75,1100000,7150,348000000,29.1
77.2,110,2200000,16000,348000000,29.1
56.7,205,6400000,79900,348000000,29.1
8.33,64,192000,1290,97300000,5.28
8.33,81.6,276000,1910,97300000,5.28
8.33,163,681000,4480,97300000,5.28
8.33,408,2350000,12500,97300000,5.28
12.8,44,370000,2570,84300000,5.4
12.8,60,750000,7490,84300000,5.4
12.8,32,280000,1300,84300000,5.4
4.12,530,7000000,25500,75600000,3.24
10.7,56.1,476000,2230,110000000,5.31
10.7,70.4,609000,2850,110000000,5.31
2.79,860,20000000,161000,102000000,3.84
4.06,860,22000000,124000,125000000,8.49
1.52,620,12000000,129000,83000000,3.21
2.32,820,16000000,103000,92100000,2.49
