2.32,22,1.1e+05,1130,9.21e+07,2.49,0.0549,4.1051,819.25,0.61762,1
2.32,27,1.5e+05,1470,9.21e+07,2.49,0.0482,4.1051,932.98,0.62325,2
2.32,32,2e+05,2040,9.21e+07,2.49,0.0426,4.1051,1054.1,0.61718,3
2.32,53,8e+05,11600,9.21e+07,2.49,0.0231,4.1051,1941.7,0.45101,4
5.69,38,9e+05,675,9.1e+07,3.32,0.0219,3.9958,2052.3,0.33559,5
5.69,125,4e+05,1240,9.1e+07,3.32,0.032,3.9958,1405.3,1.7996,7
5.69,165,6e+05,1530,9.1e+07,3.32,0.0267,3.9958,1679.2,1.8725,8
5.69,207,8e+05,1810,9.1e+07,3.32,0.0235,3.9958,1907.3,1.9966,9
74.6,61.2,5.45e+05,3100,2.45e+08,19.9,0.0275,19.304,1630.8,3.8667,11
74.6,81.6,7.5e+05,4330,2.45e+08,19.9,0.0239,19.304,1879.5,4.3084,12
74.6,112,1.07e+06,6270,2.45e+08,19.9,0.0203,19.304,2203.8,4.8267,13
40.9,95,7e+05,9800,2.43e+08,19.7,0.0247,19.105,1818.4,5.1763,14
8.55,115,5.2e+05,2190,9.77e+07,4.86,0.0283,4.6618,1584.3,1.8318,16
8.55,160,7.34e+05,3000,9.77e+07,4.86,0.0243,4.6618,1843.1,2.0953,17
94.5,52.1,4e+05,1470,3.48e+08,29.1,0.0316,29.543,1422.6,5.9123,20
86.6,75,1.1e+06,7150,3.48e+08,29.1,0.02,29.543,2240.4,4.7474,21
8.33,64,1.92e+05,1290,9.73e+07,5.28,0.0437,4.622,1027.2,1.9224,24
8.33,81.6,2.76e+05,1910,9.73e+07,5.28,0.0374,4.622,1199.9,1.9667,25
8.33,163,6.81e+05,4480,9.73e+07,5.28,0.0252,4.622,1780.2,2.3248,26
12.8,44,3.7e+05,2570,8.43e+07,5.4,0.0326,3.3297,1375.9,0.77498,28
12.8,60,7.5e+05,7490,8.43e+07,5.4,0.0238,3.3297,1884,0.70169,29
12.8,32,2.8e+05,1300,8.43e+07,5.4,0.0368,3.3297,1220,0.66489,30
10.7,56.1,4.76e+05,2230,1.1e+08,5.31,0.0292,5.8845,1536,1.0945,32
10.7,70.4,6.09e+05,2850,1.1e+08,5.31,0.0262,5.8845,1712.4,1.1931,33
